offline_datapoint_27 1686795053 26,988
offline_datapoint_6 1686795053 0,000
offline_datapoint_34 1686795055 9921146880,000
offline_datapoint_13 1686795053 34658,280
offline_datapoint_14 1686795053 0,533
offline_datapoint_16 1686795053 2,095
offline_datapoint_30 1686795053 3,137
offline_datapoint_28 1686795053 1,054
offline_datapoint_7 1686795053 13,552
offline_datapoint_21 1686795053 1,054
offline_datapoint_0 1686795053 2,616
offline_datapoint_15 1686795053 1,054
offline_datapoint_29 1686795053 3,137
offline_datapoint_8 1686795053 0,533
offline_datapoint_22 1686795053 1,054
offline_datapoint_1 1686795053 0,533
offline_datapoint_9 1686795053 90,223
offline_datapoint_11 1686795053 88,859
offline_datapoint_25 1686795053 92,649
offline_datapoint_23 1686795053 92,245
offline_datapoint_2 1686795053 75,660
offline_datapoint_17 1686795053 89,903
offline_datapoint_31 1686795053 84,135
offline_datapoint_10 1686795053 95,688
offline_datapoint_24 1686795053 86,416
offline_datapoint_3 1686795053 95,328
offline_datapoint_18 1686795053 91,948
offline_datapoint_32 1686795053 93,787
offline_datapoint_20 1686795055 0,000
offline_datapoint_26 1686795053 20848,627
offline_datapoint_5 1686795055 4287,000
offline_datapoint_4 1686795053 1,204
offline_datapoint_33 1686795053 1724164,617
offline_datapoint_12 1686795053 101873,147
offline_datapoint_19 1686795055 0,000
offline_datapoint_27 1686795056 106,318
offline_datapoint_6 1686795056 0,000
offline_datapoint_34 1686795058 9924734976,000
offline_datapoint_13 1686795056 6265,715
offline_datapoint_14 1686795056 0,000
offline_datapoint_16 1686795056 0,000
offline_datapoint_30 1686795056 0,000
offline_datapoint_28 1686795056 0,000
offline_datapoint_7 1686795056 3,038
offline_datapoint_21 1686795056 0,000
offline_datapoint_0 1686795056 1,474
offline_datapoint_15 1686795056 0,000
offline_datapoint_29 1686795056 0,431
offline_datapoint_8 1686795056 0,000
offline_datapoint_22 1686795056 0,000
offline_datapoint_1 1686795056 0,431
offline_datapoint_9 1686795056 95,615
offline_datapoint_11 1686795056 96,873
offline_datapoint_25 1686795056 98,167
offline_datapoint_23 1686795056 98,506
offline_datapoint_2 1686795056 86,577
offline_datapoint_17 1686795056 95,351
offline_datapoint_31 1686795056 91,065
offline_datapoint_10 1686795056 98,532
offline_datapoint_24 1686795056 94,628
offline_datapoint_3 1686795056 98,564
offline_datapoint_18 1686795056 96,919
offline_datapoint_32 1686795056 97,506
offline_datapoint_20 1686795058 0,000
offline_datapoint_26 1686795056 8310,574
offline_datapoint_5 1686795058 4289,000
offline_datapoint_4 1686795056 0,425
offline_datapoint_33 1686795056 271992,846
offline_datapoint_12 1686795056 82007,893
offline_datapoint_19 1686795058 0,000
offline_datapoint_27 1686795059 15,683
offline_datapoint_6 1686795059 0,000
offline_datapoint_34 1686795061 9918824448,000
offline_datapoint_13 1686795059 3634,209
offline_datapoint_14 1686795059 0,649
offline_datapoint_16 1686795059 0,128
offline_datapoint_30 1686795059 0,128
offline_datapoint_28 1686795059 0,128
offline_datapoint_7 1686795059 2,729
offline_datapoint_21 1686795059 0,128
offline_datapoint_0 1686795059 1,689
offline_datapoint_15 1686795059 0,128
offline_datapoint_29 1686795059 0,128
offline_datapoint_8 1686795059 0,128
offline_datapoint_22 1686795059 0,128
offline_datapoint_1 1686795059 0,128
offline_datapoint_9 1686795059 95,440
offline_datapoint_11 1686795059 95,949
offline_datapoint_25 1686795059 98,938
offline_datapoint_23 1686795059 98,377
offline_datapoint_2 1686795059 87,385
offline_datapoint_17 1686795059 95,128
offline_datapoint_31 1686795059 92,729
offline_datapoint_10 1686795059 98,589
offline_datapoint_24 1686795059 95,549
offline_datapoint_3 1686795059 98,817
offline_datapoint_18 1686795059 97,421
offline_datapoint_32 1686795059 98,408
offline_datapoint_20 1686795061 0,000
offline_datapoint_26 1686795059 7373,271
offline_datapoint_5 1686795061 4273,000
offline_datapoint_4 1686795059 0,286
offline_datapoint_33 1686795059 136341,097
offline_datapoint_12 1686795059 1363,411
offline_datapoint_19 1686795061 0,000
offline_datapoint_27 1686795062 0,666
offline_datapoint_6 1686795062 0,000
offline_datapoint_34 1686795064 9919696896,000
offline_datapoint_13 1686795062 10736,333
offline_datapoint_14 1686795062 2,498
offline_datapoint_16 1686795062 0,933
offline_datapoint_30 1686795062 0,933
offline_datapoint_28 1686795062 0,933
offline_datapoint_7 1686795062 3,019
offline_datapoint_21 1686795062 0,412
offline_datapoint_0 1686795062 0,412
offline_datapoint_15 1686795062 0,412
offline_datapoint_29 1686795062 0,412
offline_datapoint_8 1686795062 0,412
offline_datapoint_22 1686795062 0,933
offline_datapoint_1 1686795062 0,412
offline_datapoint_9 1686795062 93,716
offline_datapoint_11 1686795062 95,149
offline_datapoint_25 1686795062 98,759
offline_datapoint_23 1686795062 97,856
offline_datapoint_2 1686795062 83,929
offline_datapoint_17 1686795062 93,821
offline_datapoint_31 1686795062 91,436
offline_datapoint_10 1686795062 98,465
offline_datapoint_24 1686795062 94,137
offline_datapoint_3 1686795062 98,651
offline_datapoint_18 1686795062 95,950
offline_datapoint_32 1686795062 98,342
offline_datapoint_20 1686795064 0,000
offline_datapoint_26 1686795062 9370,018
offline_datapoint_5 1686795064 4269,000
offline_datapoint_4 1686795062 0,250
offline_datapoint_33 1686795062 87465,510
offline_datapoint_12 1686795062 16399,783
offline_datapoint_19 1686795064 0,000
offline_datapoint_27 1686795065 8,008
offline_datapoint_6 1686795065 0,000
offline_datapoint_34 1686795067 9927016448,000
offline_datapoint_13 1686795065 5211,639
offline_datapoint_14 1686795065 0,000
offline_datapoint_16 1686795065 0,568
offline_datapoint_30 1686795065 0,047
offline_datapoint_28 1686795065 0,000
offline_datapoint_7 1686795065 2,130
offline_datapoint_21 1686795065 0,047
offline_datapoint_0 1686795065 0,047
offline_datapoint_15 1686795065 0,000
offline_datapoint_29 1686795065 0,568
offline_datapoint_8 1686795065 0,047
offline_datapoint_22 1686795065 0,000
offline_datapoint_1 1686795065 0,047
offline_datapoint_9 1686795065 95,795
offline_datapoint_11 1686795065 96,381
offline_datapoint_25 1686795065 98,035
offline_datapoint_23 1686795065 98,521
offline_datapoint_2 1686795065 87,156
offline_datapoint_17 1686795065 95,426
offline_datapoint_31 1686795065 92,313
offline_datapoint_10 1686795065 98,683
offline_datapoint_24 1686795065 94,890
offline_datapoint_3 1686795065 98,197
offline_datapoint_18 1686795065 96,774
offline_datapoint_32 1686795065 97,890
offline_datapoint_20 1686795067 0,000
offline_datapoint_26 1686795065 7862,952
offline_datapoint_5 1686795067 4261,000
offline_datapoint_4 1686795065 0,588
offline_datapoint_33 1686795065 378146,939
offline_datapoint_12 1686795065 10921,211
offline_datapoint_19 1686795067 0,000
offline_datapoint_27 1686795068 0,333
offline_datapoint_6 1686795068 0,000
offline_datapoint_34 1686795070 9930293248,000
offline_datapoint_13 1686795068 6163,892
offline_datapoint_14 1686795068 1,027
offline_datapoint_16 1686795068 0,506
offline_datapoint_30 1686795068 0,000
offline_datapoint_28 1686795068 0,000
offline_datapoint_7 1686795068 4,153
offline_datapoint_21 1686795068 0,506
offline_datapoint_0 1686795068 0,000
offline_datapoint_15 1686795068 0,506
offline_datapoint_29 1686795068 0,000
offline_datapoint_8 1686795068 0,000
offline_datapoint_22 1686795068 0,000
offline_datapoint_1 1686795068 0,506
offline_datapoint_9 1686795068 95,113
offline_datapoint_11 1686795068 96,553
offline_datapoint_25 1686795068 98,874
offline_datapoint_23 1686795068 97,703
offline_datapoint_2 1686795068 86,237
offline_datapoint_17 1686795068 94,820
offline_datapoint_31 1686795068 92,974
offline_datapoint_10 1686795068 98,173
offline_datapoint_24 1686795068 94,851
offline_datapoint_3 1686795068 98,593
offline_datapoint_18 1686795068 97,462
offline_datapoint_32 1686795068 97,651
offline_datapoint_20 1686795070 0,000
offline_datapoint_26 1686795068 7923,099
offline_datapoint_5 1686795070 4249,000
offline_datapoint_4 1686795068 0,426
offline_datapoint_33 1686795068 154271,621
offline_datapoint_12 1686795068 16382,827
offline_datapoint_19 1686795070 0,000
offline_datapoint_27 1686795071 3,333
offline_datapoint_6 1686795071 0,000
offline_datapoint_34 1686795073 9934495744,000
offline_datapoint_13 1686795071 5461,579
offline_datapoint_14 1686795071 0,533
offline_datapoint_16 1686795071 0,533
offline_datapoint_30 1686795071 0,012
offline_datapoint_28 1686795071 0,012
offline_datapoint_7 1686795071 3,137
offline_datapoint_21 1686795071 1,054
offline_datapoint_0 1686795071 0,012
offline_datapoint_15 1686795071 0,533
offline_datapoint_29 1686795071 0,533
offline_datapoint_8 1686795071 0,012
offline_datapoint_22 1686795071 0,012
offline_datapoint_1 1686795071 0,012
offline_datapoint_9 1686795071 95,248
offline_datapoint_11 1686795071 95,965
offline_datapoint_25 1686795071 98,482
offline_datapoint_23 1686795071 98,144
offline_datapoint_2 1686795071 86,884
offline_datapoint_17 1686795071 93,460
offline_datapoint_31 1686795071 93,664
offline_datapoint_10 1686795071 98,926
offline_datapoint_24 1686795071 94,910
offline_datapoint_3 1686795071 98,404
offline_datapoint_18 1686795071 97,735
offline_datapoint_32 1686795071 98,222
offline_datapoint_20 1686795073 0,000
offline_datapoint_26 1686795071 7788,116
offline_datapoint_5 1686795073 4245,000
offline_datapoint_4 1686795071 0,224
offline_datapoint_33 1686795071 111935,051
offline_datapoint_12 1686795071 0,000
offline_datapoint_19 1686795073 0,000
offline_datapoint_27 1686795074 0,333
offline_datapoint_6 1686795074 0,000
offline_datapoint_34 1686795076 9932349440,000
offline_datapoint_13 1686795074 4345,698
offline_datapoint_14 1686795074 0,479
offline_datapoint_16 1686795074 0,479
offline_datapoint_30 1686795074 0,479
offline_datapoint_28 1686795074 0,479
offline_datapoint_7 1686795074 1,000
offline_datapoint_21 1686795074 1,521
offline_datapoint_0 1686795074 0,479
