offline_datapoint_0 1687086656 0,000
offline_datapoint_14 1687086656 0,000
offline_datapoint_7 1687086658 8736350208,000
offline_datapoint_21 1687086656 37173,529
offline_datapoint_22 1687086656 1,169
offline_datapoint_24 1687086656 6,371
offline_datapoint_3 1687086656 8,451
offline_datapoint_1 1687086656 0,649
offline_datapoint_15 1687086656 19,375
offline_datapoint_29 1687086656 1,169
offline_datapoint_8 1687086656 3,770
offline_datapoint_23 1687086656 3,250
offline_datapoint_2 1687086656 4,810
offline_datapoint_16 1687086656 26,137
offline_datapoint_30 1687086656 9,492
offline_datapoint_9 1687086656 24,056
offline_datapoint_17 1687086656 86,934
offline_datapoint_19 1687086656 81,260
offline_datapoint_33 1687086656 84,293
offline_datapoint_31 1687086656 92,885
offline_datapoint_10 1687086656 78,902
offline_datapoint_25 1687086656 91,822
offline_datapoint_4 1687086656 83,906
offline_datapoint_18 1687086656 90,652
offline_datapoint_32 1687086656 85,336
offline_datapoint_11 1687086656 68,325
offline_datapoint_26 1687086656 76,426
offline_datapoint_5 1687086656 61,224
offline_datapoint_28 1687086658 0,000
offline_datapoint_34 1687086656 22121,885
offline_datapoint_13 1687086658 4609,000
offline_datapoint_12 1687086656 1,521
offline_datapoint_6 1687086656 2811701,579
offline_datapoint_20 1687086656 84882,843
offline_datapoint_27 1687086658 0,000
offline_datapoint_0 1687086659 114,186
offline_datapoint_14 1687086659 0,000
offline_datapoint_7 1687086661 8733278208,000
offline_datapoint_21 1687086659 5966,782
offline_datapoint_22 1687086659 0,504
offline_datapoint_24 1687086659 9,359
offline_datapoint_3 1687086659 8,318
offline_datapoint_1 1687086659 0,504
offline_datapoint_15 1687086659 4,671
offline_datapoint_29 1687086659 1,546
offline_datapoint_8 1687086659 11,964
offline_datapoint_23 1687086659 7,797
offline_datapoint_2 1687086659 0,504
offline_datapoint_16 1687086659 25,508
offline_datapoint_30 1687086659 4,150
offline_datapoint_9 1687086659 10,922
offline_datapoint_17 1687086659 93,949
offline_datapoint_19 1687086659 85,755
offline_datapoint_33 1687086659 86,169
offline_datapoint_31 1687086659 97,775
offline_datapoint_10 1687086659 89,311
offline_datapoint_25 1687086659 94,273
offline_datapoint_4 1687086659 82,027
offline_datapoint_18 1687086659 89,776
offline_datapoint_32 1687086659 95,941
offline_datapoint_11 1687086659 73,128
offline_datapoint_26 1687086659 91,078
offline_datapoint_5 1687086659 84,964
offline_datapoint_28 1687086661 0,000
offline_datapoint_34 1687086659 8521,784
offline_datapoint_13 1687086661 4611,000
offline_datapoint_12 1687086659 0,429
offline_datapoint_6 1687086659 405557,169
offline_datapoint_20 1687086659 10924,099
offline_datapoint_27 1687086661 0,000
offline_datapoint_0 1687086662 0,333
offline_datapoint_14 1687086662 0,000
offline_datapoint_7 1687086664 8733663232,000
offline_datapoint_21 1687086662 2825,087
offline_datapoint_22 1687086662 0,000
offline_datapoint_24 1687086662 9,876
offline_datapoint_3 1687086662 26,546
offline_datapoint_1 1687086662 0,000
offline_datapoint_15 1687086662 5,188
offline_datapoint_29 1687086662 0,499
offline_datapoint_8 1687086662 0,499
offline_datapoint_23 1687086662 4,667
offline_datapoint_2 1687086662 0,499
offline_datapoint_16 1687086662 45,301
offline_datapoint_30 1687086662 1,541
offline_datapoint_9 1687086662 0,000
offline_datapoint_17 1687086662 97,361
offline_datapoint_19 1687086662 84,918
offline_datapoint_33 1687086662 68,701
offline_datapoint_31 1687086662 99,052
offline_datapoint_10 1687086662 91,619
offline_datapoint_25 1687086662 98,654
offline_datapoint_4 1687086662 96,023
offline_datapoint_18 1687086662 94,494
offline_datapoint_32 1687086662 97,102
offline_datapoint_11 1687086662 54,392
offline_datapoint_26 1687086662 95,618
