offline_datapoint_11 1686428193 2159790,000
offline_datapoint_5 1686428193 4842,000
offline_datapoint_26 1686428193 819638272,000
offline_datapoint_14 1686428193 485785600,000
offline_datapoint_3 1686428193 13185994752,000
offline_datapoint_9 1686428193 336568320,000
offline_datapoint_25 1686428193 8423,000
offline_datapoint_19 1686428191 92,769
offline_datapoint_8 1686428191 23270,609
offline_datapoint_21 1686428193 336568320,000
offline_datapoint_1 1686428191 22,692
offline_datapoint_20 1686428193 8391917568,000
offline_datapoint_7 1686428193 9636880384,000
offline_datapoint_6 1686428191 0,043
offline_datapoint_12 1686428191 2,165
offline_datapoint_24 1686428191 1,260
offline_datapoint_13 1686428191 9670,309
offline_datapoint_18 1686428193 0,000
offline_datapoint_0 1686428191 17916,717
offline_datapoint_16 1686428191 1736,244
offline_datapoint_28 1686428191 0,394
offline_datapoint_17 1686428191 49,054
offline_datapoint_10 1686428191 99,726
offline_datapoint_29 1686428191 4,004
offline_datapoint_22 1686428191 20284,952
offline_datapoint_4 1686428191 0,008
offline_datapoint_11 1686428196 2159790,000
offline_datapoint_5 1686428196 4837,000
offline_datapoint_26 1686428196 819638272,000
offline_datapoint_14 1686428196 485785600,000
offline_datapoint_3 1686428196 13184630784,000
offline_datapoint_9 1686428196 336601088,000
offline_datapoint_25 1686428196 8423,000
offline_datapoint_19 1686428194 0,333
offline_datapoint_8 1686428194 380,667
offline_datapoint_21 1686428196 336601088,000
offline_datapoint_1 1686428194 0,333
offline_datapoint_20 1686428196 8390242304,000
offline_datapoint_7 1686428196 9635016704,000
offline_datapoint_6 1686428194 0,000
offline_datapoint_12 1686428194 0,304
offline_datapoint_24 1686428194 0,087
offline_datapoint_13 1686428194 5997,013
offline_datapoint_18 1686428196 0,000
offline_datapoint_0 1686428194 8853,019
offline_datapoint_16 1686428194 613,001
offline_datapoint_28 1686428194 0,103
offline_datapoint_17 1686428194 10,000
offline_datapoint_10 1686428194 99,924
offline_datapoint_29 1686428194 1,333
offline_datapoint_22 1686428194 12834,133
offline_datapoint_4 1686428194 0,002
offline_datapoint_11 1686428199 2159790,000
offline_datapoint_5 1686428199 4834,000
offline_datapoint_26 1686428199 819302400,000
offline_datapoint_14 1686428199 485785600,000
offline_datapoint_3 1686428199 13188431872,000
offline_datapoint_9 1686428199 336470016,000
offline_datapoint_25 1686428199 8424,000
offline_datapoint_19 1686428197 0,000
offline_datapoint_8 1686428197 3427,867
offline_datapoint_21 1686428199 336470016,000
offline_datapoint_1 1686428197 0,000
offline_datapoint_20 1686428199 8394575872,000
offline_datapoint_7 1686428199 9633828864,000
offline_datapoint_6 1686428197 0,000
offline_datapoint_12 1686428197 0,332
offline_datapoint_24 1686428197 0,260
offline_datapoint_13 1686428197 6518,381
offline_datapoint_18 1686428199 0,000
offline_datapoint_0 1686428197 9932,247
offline_datapoint_16 1686428197 1055,728
offline_datapoint_28 1686428197 0,104
offline_datapoint_17 1686428197 7,667
offline_datapoint_10 1686428197 99,901
offline_datapoint_29 1686428197 0,000
offline_datapoint_22 1686428197 9260,522
offline_datapoint_4 1686428197 0,002
offline_datapoint_11 1686428202 2159790,000
offline_datapoint_5 1686428202 4839,000
offline_datapoint_26 1686428202 819286016,000
offline_datapoint_14 1686428202 485785600,000
offline_datapoint_3 1686428202 13189435392,000
offline_datapoint_9 1686428202 336470016,000
offline_datapoint_25 1686428202 8421,000
offline_datapoint_19 1686428200 0,333
offline_datapoint_8 1686428200 3020,687
offline_datapoint_21 1686428202 336470016,000
offline_datapoint_1 1686428200 0,333
offline_datapoint_20 1686428202 8394973184,000
offline_datapoint_7 1686428202 9634058240,000
offline_datapoint_6 1686428200 0,000
offline_datapoint_12 1686428200 0,419
offline_datapoint_24 1686428200 0,087
offline_datapoint_13 1686428200 7145,496
offline_datapoint_18 1686428202 0,000
offline_datapoint_0 1686428200 9187,590
offline_datapoint_16 1686428200 712,885
offline_datapoint_28 1686428200 0,060
offline_datapoint_17 1686428200 3,663
offline_datapoint_10 1686428200 99,945
offline_datapoint_29 1686428200 0,000
offline_datapoint_22 1686428200 6702,545
offline_datapoint_4 1686428200 0,001
offline_datapoint_11 1686428205 2159790,000
offline_datapoint_5 1686428205 4850,000
offline_datapoint_26 1686428205 819286016,000
offline_datapoint_14 1686428205 485785600,000
offline_datapoint_3 1686428205 13189132288,000
offline_datapoint_9 1686428205 336089088,000
offline_datapoint_25 1686428205 8422,000
offline_datapoint_19 1686428203 0,000
offline_datapoint_8 1686428203 84,635
offline_datapoint_21 1686428205 336089088,000
offline_datapoint_1 1686428203 0,000
offline_datapoint_20 1686428205 8395771904,000
offline_datapoint_7 1686428205 9634340864,000
offline_datapoint_6 1686428203 0,000
offline_datapoint_12 1686428203 0,032
offline_datapoint_24 1686428203 0,043
offline_datapoint_13 1686428203 5949,784
offline_datapoint_18 1686428205 0,000
offline_datapoint_0 1686428203 8784,394
offline_datapoint_16 1686428203 605,108
offline_datapoint_28 1686428203 0,087
offline_datapoint_17 1686428203 10,996
offline_datapoint_10 1686428203 99,917
offline_datapoint_29 1686428203 0,666
offline_datapoint_22 1686428203 10053,818
offline_datapoint_4 1686428203 0,002
offline_datapoint_11 1686428208 2159790,000
offline_datapoint_5 1686428208 4823,000
offline_datapoint_26 1686428208 819298304,000
offline_datapoint_14 1686428208 483483648,000
offline_datapoint_3 1686428208 13189025792,000
offline_datapoint_9 1686428208 336379904,000
offline_datapoint_25 1686428208 8422,000
offline_datapoint_19 1686428206 1,001
offline_datapoint_8 1686428206 1855,274
offline_datapoint_21 1686428208 336379904,000
offline_datapoint_1 1686428206 1,001
offline_datapoint_20 1686428208 8394633216,000
offline_datapoint_7 1686428208 9633824768,000
offline_datapoint_6 1686428206 0,000
offline_datapoint_12 1686428206 0,436
offline_datapoint_24 1686428206 0,217
offline_datapoint_13 1686428206 6540,316
offline_datapoint_18 1686428208 0,000
offline_datapoint_0 1686428206 9573,855
offline_datapoint_16 1686428206 746,712
offline_datapoint_28 1686428206 0,237
offline_datapoint_17 1686428206 38,353
offline_datapoint_10 1686428206 99,759
offline_datapoint_29 1686428206 0,667
offline_datapoint_22 1686428206 8761,878
offline_datapoint_4 1686428206 0,005
offline_datapoint_11 1686428211 2159790,000
offline_datapoint_5 1686428211 4809,000
offline_datapoint_26 1686428211 819347456,000
offline_datapoint_14 1686428211 483491840,000
offline_datapoint_3 1686428211 13187416064,000
offline_datapoint_9 1686428211 336613376,000
offline_datapoint_25 1686428211 8422,000
offline_datapoint_19 1686428209 0,000
offline_datapoint_8 1686428209 2595,714
offline_datapoint_21 1686428211 336613376,000
offline_datapoint_1 1686428209 0,000
offline_datapoint_20 1686428211 8394084352,000
offline_datapoint_7 1686428211 9633513472,000
offline_datapoint_6 1686428209 0,000
offline_datapoint_12 1686428209 0,375
