106 1687086656 0,000000 0,000000 -101,000000 0,000000 0,000000
106 1687086657 0,000000 0,000000 -101,000000 0,000000 0,000000
106 1687086658 0,000000 0,000000 -101,000000 0,000000 0,000000
106 1687086659 0,000000 0,000000 -101,000000 0,000000 0,000000
106 1687086660 2,000000 0,600000 1,200000 1,200000 -20,200000
106 1687086661 2,000000 0,600000 2,400000 2,400000 -20,200000
106 1687086662 2,000000 0,600000 3,600000 3,600000 -20,200000
106 1687086663 2,000000 0,600000 4,800000 4,800000 -20,200000
106 1687086664 2,000000 0,600000 6,000000 6,000000 -20,200000
106 1687086665 0,000000 0,800000 6,000000 6,000000 -20,200000
106 1687086666 0,000000 0,800000 6,000000 6,000000 -20,200000
106 1687086667 0,000000 0,800000 6,000000 6,000000 -20,200000
106 1687086668 0,000000 0,800000 6,000000 6,000000 -20,200000
106 1687086669 0,000000 0,800000 6,000000 6,000000 -20,200000
106 1687086670 0,400000 1,000000 6,400000 6,400000 -20,200000
106 1687086671 0,400000 1,000000 6,800000 6,800000 -20,200000
106 1687086672 0,400000 1,000000 7,200000 7,200000 -20,200000
106 1687086673 0,400000 1,000000 7,600000 7,600000 -20,200000
106 1687086674 0,400000 1,000000 8,000000 8,000000 -20,200000
106 1687086675 -0,166667 1,200000 7,800000 7,800000 -20,200000
106 1687086676 -0,166667 1,200000 7,600000 7,600000 -20,200000
106 1687086677 -0,166667 1,200000 7,400000 7,400000 -20,200000
106 1687086678 -0,166667 1,200000 7,200000 7,200000 -20,200000
106 1687086679 -0,166667 1,200000 7,000000 7,000000 -20,200000
106 1687086680 0,000000 1,800000 7,000000 7,000000 -20,200000
106 1687086681 0,000000 1,800000 7,000000 7,000000 -20,200000
106 1687086682 0,000000 1,800000 7,000000 7,000000 -20,200000
106 1687086683 0,000000 1,800000 7,000000 7,000000 -20,200000
106 1687086684 0,000000 1,800000 7,000000 7,000000 -20,200000
106 1687086685 -0,090909 2,200000 6,800000 6,800000 -20,200000
106 1687086686 -0,090909 2,200000 6,600000 6,600000 -20,200000
106 1687086687 -0,090909 2,200000 6,400000 6,400000 -20,200000
106 1687086688 -0,090909 2,200000 6,200000 6,200000 -20,200000
