86 1687086655 0,100621 0,600000 0,100154 0,101532 0,006075
86 1687086656 0,100621 0,600000 0,100154 0,101532 0,006075
86 1687086657 0,100621 0,600000 0,100154 0,101532 0,006075
86 1687086658 0,100621 0,600000 0,100154 0,101532 0,006075
86 1687086659 0,100621 0,600000 0,100154 0,101532 0,006075
95 1687086660 0,126029 0,600000 0,125344 0,126672 0,009530
98 1687086660 0,109767 0,200000 0,109767 0,109767 0,002410
95 1687086661 0,126029 0,600000 0,125344 0,126672 0,009530
98 1687086661 0,109767 0,200000 0,109767 0,109767 0,002410
95 1687086662 0,126029 0,600000 0,125344 0,126672 0,009530
98 1687086662 0,109767 0,200000 0,109767 0,109767 0,002410
95 1687086663 0,126029 0,600000 0,125344 0,126672 0,009530
98 1687086663 0,109767 0,200000 0,109767 0,109767 0,002410
95 1687086664 0,126029 0,600000 0,125344 0,126672 0,009530
98 1687086664 0,109767 0,200000 0,109767 0,109767 0,002410
109 1687086665 0,124373 0,200000 0,124373 0,124373 0,003094
98 1687086665 0,110271 0,200000 0,110271 0,110271 0,002432
86 1687086665 0,086285 0,200000 0,086285 0,086285 0,001489
109 1687086666 0,124373 0,200000 0,124373 0,124373 0,003094
98 1687086666 0,110271 0,200000 0,110271 0,110271 0,002432
86 1687086666 0,086285 0,200000 0,086285 0,086285 0,001489
109 1687086667 0,124373 0,200000 0,124373 0,124373 0,003094
98 1687086667 0,110271 0,200000 0,110271 0,110271 0,002432
86 1687086667 0,086285 0,200000 0,086285 0,086285 0,001489
109 1687086668 0,124373 0,200000 0,124373 0,124373 0,003094
98 1687086668 0,110271 0,200000 0,110271 0,110271 0,002432
86 1687086668 0,086285 0,200000 0,086285 0,086285 0,001489
109 1687086669 0,124373 0,200000 0,124373 0,124373 0,003094
98 1687086669 0,110271 0,200000 0,110271 0,110271 0,002432
86 1687086669 0,086285 0,200000 0,086285 0,086285 0,001489
95 1687086670 0,125831 0,200000 0,125831 0,125831 0,003167
95 1687086671 0,125831 0,200000 0,125831 0,125831 0,003167
95 1687086672 0,125831 0,200000 0,125831 0,125831 0,003167
95 1687086673 0,125831 0,200000 0,125831 0,125831 0,003167
