85 1686795058 5485,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795059 5485,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795060 5485,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795061 5485,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795062 5485,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795063 4061,000000 -1,000000 -101,000000 0,000000 0,000000
85 1686795064 4061,000000 -1,000000 -101,000000 0,000000 0,000000
85 1686795065 4061,000000 -1,000000 -101,000000 0,000000 0,000000
85 1686795066 4061,000000 -1,000000 -101,000000 0,000000 0,000000
85 1686795067 4061,000000 -1,000000 -101,000000 0,000000 0,000000
85 1686795068 6348,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795069 6348,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795070 6348,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795071 6348,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795072 6348,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795073 3301,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795074 3301,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795075 3301,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795076 3301,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795077 3301,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795078 4382,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795079 4382,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795080 4382,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795081 4382,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795082 4382,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795083 3006,800000 -1,000000 -101,000000 0,000000 0,000000
85 1686795084 3006,800000 -1,000000 -101,000000 0,000000 0,000000
85 1686795085 3006,800000 -1,000000 -101,000000 0,000000 0,000000
85 1686795086 3006,800000 -1,000000 -101,000000 0,000000 0,000000
85 1686795087 3006,800000 -1,000000 -101,000000 0,000000 0,000000
85 1686795088 3412,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795089 3412,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795090 3412,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795091 3412,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795092 3412,200000 -1,000000 -101,000000 0,000000 0,000000
85 1686795093 3087,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795094 3087,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795095 3087,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795096 3087,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795097 3087,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795103 609,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795104 609,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795105 609,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795106 609,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795107 609,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795108 1155,600000 -1,000000 -101,000000 0,000000 0,000000
85 1686795109 1155,600000 -1,000000 -101,000000 0,000000 0,000000
85 1686795110 1155,600000 -1,000000 -101,000000 0,000000 0,000000
85 1686795111 1155,600000 -1,000000 -101,000000 0,000000 0,000000
85 1686795112 1155,600000 -1,000000 -101,000000 0,000000 0,000000
85 1686795113 1856,800000 -1,000000 -101,000000 0,000000 0,000000
85 1686795114 1856,800000 -1,000000 -101,000000 0,000000 0,000000
85 1686795115 1856,800000 -1,000000 -101,000000 0,000000 0,000000
85 1686795116 1856,800000 -1,000000 -101,000000 0,000000 0,000000
85 1686795117 1856,800000 -1,000000 -101,000000 0,000000 0,000000
85 1686795133 231,000000 -1,000000 -101,000000 0,000000 0,000000
85 1686795134 231,000000 -1,000000 -101,000000 0,000000 0,000000
85 1686795135 231,000000 -1,000000 -101,000000 0,000000 0,000000
85 1686795136 231,000000 -1,000000 -101,000000 0,000000 0,000000
85 1686795137 231,000000 -1,000000 -101,000000 0,000000 0,000000
85 1686795138 556,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795139 556,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795140 556,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795141 556,400000 -1,000000 -101,000000 0,000000 0,000000
85 1686795142 556,400000 -1,000000 -101,000000 0,000000 0,000000
