66 1686795053 0,092754 0,600000 0,086015 0,097632 0,005176
66 1686795054 0,092754 0,600000 0,086015 0,097632 0,005176
66 1686795055 0,092754 0,600000 0,086015 0,097632 0,005176
66 1686795056 0,092754 0,600000 0,086015 0,097632 0,005176
66 1686795057 0,092754 0,600000 0,086015 0,097632 0,005176
75 1686795058 0,125383 0,200000 0,125383 0,125383 0,003144
78 1686795058 0,125206 0,600000 0,124749 0,125701 0,009406
81 1686795058 0,110841 0,200000 0,110841 0,110841 0,002457
66 1686795058 0,093718 0,200000 0,093718 0,093718 0,001757
75 1686795059 0,125383 0,200000 0,125383 0,125383 0,003144
78 1686795059 0,125206 0,600000 0,124749 0,125701 0,009406
81 1686795059 0,110841 0,200000 0,110841 0,110841 0,002457
66 1686795059 0,093718 0,200000 0,093718 0,093718 0,001757
75 1686795060 0,125383 0,200000 0,125383 0,125383 0,003144
78 1686795060 0,125206 0,600000 0,124749 0,125701 0,009406
81 1686795060 0,110841 0,200000 0,110841 0,110841 0,002457
66 1686795060 0,093718 0,200000 0,093718 0,093718 0,001757
75 1686795061 0,125383 0,200000 0,125383 0,125383 0,003144
78 1686795061 0,125206 0,600000 0,124749 0,125701 0,009406
81 1686795061 0,110841 0,200000 0,110841 0,110841 0,002457
66 1686795061 0,093718 0,200000 0,093718 0,093718 0,001757
75 1686795062 0,125383 0,200000 0,125383 0,125383 0,003144
78 1686795062 0,125206 0,600000 0,124749 0,125701 0,009406
81 1686795062 0,110841 0,200000 0,110841 0,110841 0,002457
66 1686795062 0,093718 0,200000 0,093718 0,093718 0,001757
78 1686795063 0,127325 0,400000 0,127025 0,127625 0,006485
81 1686795063 0,125805 0,200000 0,125805 0,125805 0,003165
66 1686795063 0,092712 0,400000 0,092641 0,092783 0,003438
78 1686795064 0,127325 0,400000 0,127025 0,127625 0,006485
81 1686795064 0,125805 0,200000 0,125805 0,125805 0,003165
66 1686795064 0,092712 0,400000 0,092641 0,092783 0,003438
78 1686795065 0,127325 0,400000 0,127025 0,127625 0,006485
81 1686795065 0,125805 0,200000 0,125805 0,125805 0,003165
66 1686795065 0,092712 0,400000 0,092641 0,092783 0,003438
78 1686795066 0,127325 0,400000 0,127025 0,127625 0,006485
81 1686795066 0,125805 0,200000 0,125805 0,125805 0,003165
66 1686795066 0,092712 0,400000 0,092641 0,092783 0,003438
78 1686795067 0,127325 0,400000 0,127025 0,127625 0,006485
81 1686795067 0,125805 0,200000 0,125805 0,125805 0,003165
66 1686795067 0,092712 0,400000 0,092641 0,092783 0,003438
75 1686795068 0,129175 0,200000 0,129175 0,129175 0,003337
78 1686795068 0,127722 0,200000 0,127722 0,127722 0,003263
81 1686795068 0,124357 0,200000 0,124357 0,124357 0,003093
66 1686795068 0,083331 0,200000 0,083331 0,083331 0,001389
75 1686795069 0,129175 0,200000 0,129175 0,129175 0,003337
78 1686795069 0,127722 0,200000 0,127722 0,127722 0,003263
81 1686795069 0,124357 0,200000 0,124357 0,124357 0,003093
66 1686795069 0,083331 0,200000 0,083331 0,083331 0,001389
75 1686795070 0,129175 0,200000 0,129175 0,129175 0,003337
78 1686795070 0,127722 0,200000 0,127722 0,127722 0,003263
81 1686795070 0,124357 0,200000 0,124357 0,124357 0,003093
66 1686795070 0,083331 0,200000 0,083331 0,083331 0,001389
75 1686795071 0,129175 0,200000 0,129175 0,129175 0,003337
78 1686795071 0,127722 0,200000 0,127722 0,127722 0,003263
81 1686795071 0,124357 0,200000 0,124357 0,124357 0,003093
66 1686795071 0,083331 0,200000 0,083331 0,083331 0,001389
75 1686795072 0,129175 0,200000 0,129175 0,129175 0,003337
78 1686795072 0,127722 0,200000 0,127722 0,127722 0,003263
81 1686795072 0,124357 0,200000 0,124357 0,124357 0,003093
66 1686795072 0,083331 0,200000 0,083331 0,083331 0,001389
75 1686795073 0,128451 0,200000 0,128451 0,128451 0,003300
78 1686795073 0,122854 0,200000 0,122854 0,122854 0,003019
93 1686795073 0,042732 0,200000 0,042732 0,042732 0,000365
66 1686795073 0,080949 0,200000 0,080949 0,080949 0,001311
75 1686795074 0,128451 0,200000 0,128451 0,128451 0,003300
78 1686795074 0,122854 0,200000 0,122854 0,122854 0,003019
93 1686795074 0,042732 0,200000 0,042732 0,042732 0,000365
66 1686795074 0,080949 0,200000 0,080949 0,080949 0,001311
75 1686795075 0,128451 0,200000 0,128451 0,128451 0,003300
78 1686795075 0,122854 0,200000 0,122854 0,122854 0,003019
93 1686795075 0,042732 0,200000 0,042732 0,042732 0,000365
66 1686795075 0,080949 0,200000 0,080949 0,080949 0,001311
75 1686795076 0,128451 0,200000 0,128451 0,128451 0,003300
78 1686795076 0,122854 0,200000 0,122854 0,122854 0,003019
93 1686795076 0,042732 0,200000 0,042732 0,042732 0,000365
66 1686795076 0,080949 0,200000 0,080949 0,080949 0,001311
75 1686795077 0,128451 0,200000 0,128451 0,128451 0,003300
78 1686795077 0,122854 0,200000 0,122854 0,122854 0,003019
93 1686795077 0,042732 0,200000 0,042732 0,042732 0,000365
66 1686795077 0,080949 0,200000 0,080949 0,080949 0,001311
75 1686795078 0,123512 0,400000 0,118189 0,128834 0,006113
78 1686795078 0,126420 0,200000 0,126420 0,126420 0,003196
93 1686795078 0,038713 0,200000 0,038713 0,038713 0,000300
66 1686795078 0,096052 0,200000 0,096052 0,096052 0,001845
75 1686795079 0,123512 0,400000 0,118189 0,128834 0,006113
75 1686795080 0,123512 0,400000 0,118189 0,128834 0,006113
78 1686795079 0,126420 0,200000 0,126420 0,126420 0,003196
78 1686795080 0,126420 0,200000 0,126420 0,126420 0,003196
93 1686795079 0,038713 0,200000 0,038713 0,038713 0,000300
93 1686795080 0,038713 0,200000 0,038713 0,038713 0,000300
66 1686795079 0,096052 0,200000 0,096052 0,096052 0,001845
66 1686795080 0,096052 0,200000 0,096052 0,096052 0,001845
75 1686795081 0,123512 0,400000 0,118189 0,128834 0,006113
78 1686795081 0,126420 0,200000 0,126420 0,126420 0,003196
93 1686795081 0,038713 0,200000 0,038713 0,038713 0,000300
66 1686795081 0,096052 0,200000 0,096052 0,096052 0,001845
75 1686795082 0,123512 0,400000 0,118189 0,128834 0,006113
78 1686795082 0,126420 0,200000 0,126420 0,126420 0,003196
93 1686795082 0,038713 0,200000 0,038713 0,038713 0,000300
66 1686795082 0,096052 0,200000 0,096052 0,096052 0,001845
78 1686795083 0,123865 0,200000 0,123865 0,123865 0,003069
93 1686795083 0,046920 0,200000 0,046920 0,046920 0,000440
66 1686795083 0,092989 0,200000 0,092989 0,092989 0,001729
78 1686795084 0,123865 0,200000 0,123865 0,123865 0,003069
93 1686795084 0,046920 0,200000 0,046920 0,046920 0,000440
66 1686795084 0,092989 0,200000 0,092989 0,092989 0,001729
78 1686795085 0,123865 0,200000 0,123865 0,123865 0,003069
93 1686795085 0,046920 0,200000 0,046920 0,046920 0,000440
