220 1686993549 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686993548 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686993547 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686993546 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686993545 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686993545 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686993546 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686993547 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686993548 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686993549 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686994194 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994193 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994192 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994191 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994190 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994194 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994193 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994192 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994191 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994190 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994194 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994193 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994192 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994191 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994190 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686994190 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686994191 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686994192 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686994193 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686994194 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686995809 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995808 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995807 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995806 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995805 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995809 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995808 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995807 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995806 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995805 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995809 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995808 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995807 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995806 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995805 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686995805 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686995806 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686995807 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686995808 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686995809 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686997934 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997933 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997932 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997931 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997930 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997934 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997933 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997932 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997931 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997930 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997934 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997933 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997932 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997931 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997930 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997934 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997933 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997932 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997931 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997930 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1686997930 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686997931 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686997932 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686997933 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1686997934 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687000110 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687000111 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687000112 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687000113 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687000114 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687000394 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687000393 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687000392 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687000391 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687000390 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687000394 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687000393 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687000392 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687000391 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687000390 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687000390 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687000391 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687000392 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687000393 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687000394 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687001474 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687001473 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687001472 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687001471 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687001470 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687001470 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687001471 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687001472 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687001473 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687001474 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687001765 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687001766 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687001767 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687001768 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687001769 0,200000 -1,000000 -101,000000 0,000000 0,000000
220 1687002124 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002123 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002122 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002121 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002120 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002124 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002123 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002122 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002121 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002120 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002124 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002123 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002122 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002121 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002120 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002124 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002123 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002122 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002121 0,200000 -1,000000 0,200000 0,200000 0,008000
220 1687002120 0,200000 -1,000000 0,200000 0,200000 0,008000
