193 1686992726 0,000000 0,000000 -101,000000 0,000000 0,000000
193 1686992727 0,000000 0,000000 -101,000000 0,000000 0,000000
193 1686992728 0,000000 0,000000 -101,000000 0,000000 0,000000
193 1686992729 0,000000 0,000000 -101,000000 0,000000 0,000000
193 1686992730 2,000000 0,600000 1,200000 1,200000 -20,200000
193 1686992731 2,000000 0,600000 2,400000 2,400000 -20,200000
193 1686992732 2,000000 0,600000 3,600000 3,600000 -20,200000
193 1686992733 2,000000 0,600000 4,800000 4,800000 -20,200000
193 1686992734 2,000000 0,600000 6,000000 6,000000 -20,200000
193 1686992735 0,000000 0,800000 6,000000 6,000000 -20,200000
193 1686992736 0,000000 0,800000 6,000000 6,000000 -20,200000
193 1686992737 0,000000 0,800000 6,000000 6,000000 -20,200000
193 1686992738 0,000000 0,800000 6,000000 6,000000 -20,200000
193 1686992739 0,000000 0,800000 6,000000 6,000000 -20,200000
193 1686992740 0,333333 1,200000 6,400000 6,400000 -20,200000
193 1686992741 0,333333 1,200000 6,800000 6,800000 -20,200000
193 1686992742 0,333333 1,200000 7,200000 7,200000 -20,200000
193 1686992743 0,333333 1,200000 7,600000 7,600000 -20,200000
193 1686992744 0,333333 1,200000 8,000000 8,000000 -20,200000
193 1686992745 -0,142857 1,400000 7,800000 7,800000 -20,200000
193 1686992746 -0,142857 1,400000 7,600000 7,600000 -20,200000
193 1686992747 -0,142857 1,400000 7,400000 7,400000 -20,200000
193 1686992748 -0,142857 1,400000 7,200000 7,200000 -20,200000
193 1686992749 -0,142857 1,400000 7,000000 7,000000 -20,200000
193 1686992750 0,111111 1,800000 7,200000 7,200000 -20,200000
193 1686992751 0,111111 1,800000 7,400000 7,400000 -20,200000
193 1686992752 0,111111 1,800000 7,600000 7,600000 -20,200000
193 1686992753 0,111111 1,800000 7,800000 7,800000 -20,200000
193 1686992754 0,111111 1,800000 8,000000 8,000000 -20,200000
193 1686992755 -0,181818 2,200000 7,600000 7,600000 -20,200000
193 1686992756 -0,181818 2,200000 7,200000 7,200000 -20,200000
193 1686992757 -0,181818 2,200000 6,800000 6,800000 -20,200000
193 1686992758 -0,181818 2,200000 6,400000 6,400000 -20,200000
193 1686992759 -0,181818 2,200000 6,000000 6,000000 -20,200000
193 1686992760 0,142857 2,800000 6,400000 6,400000 -20,200000
193 1686992761 0,142857 2,800000 6,800000 6,800000 -20,200000
193 1686992762 0,142857 2,800000 7,200000 7,200000 -20,200000
193 1686992763 0,142857 2,800000 7,600000 7,600000 -20,200000
193 1686992764 0,142857 2,800000 8,000000 8,000000 -20,200000
193 1686992765 0,117647 3,400000 8,400000 8,400000 -20,200000
193 1686992766 0,117647 3,400000 8,800000 8,800000 -20,200000
193 1686992767 0,117647 3,400000 9,200000 9,200000 -20,200000
