178 1686992725 0,600000 -1,000000 -101,000000 0,000000 0,000000
178 1686992726 0,600000 -1,000000 -101,000000 0,000000 0,000000
190 1686992730 4,200000 -1,000000 -101,000000 0,000000 0,000000
190 1686992731 4,200000 -1,000000 -101,000000 0,000000 0,000000
190 1686992732 4,200000 -1,000000 -101,000000 0,000000 0,000000
190 1686992733 4,200000 -1,000000 -101,000000 0,000000 0,000000
190 1686992734 4,200000 -1,000000 -101,000000 0,000000 0,000000
190 1686992735 1,000000 -1,000000 -101,000000 0,000000 0,000000
190 1686992736 1,000000 -1,000000 -101,000000 0,000000 0,000000
178 1686992727 0,600000 -1,000000 -101,000000 0,000000 0,000000
178 1686992728 0,600000 -1,000000 -101,000000 0,000000 0,000000
178 1686992729 0,600000 -1,000000 -101,000000 0,000000 0,000000
178 1686992735 0,200000 -1,000000 -101,000000 0,000000 0,000000
178 1686992736 0,200000 -1,000000 -101,000000 0,000000 0,000000
190 1686992737 1,000000 -1,000000 -101,000000 0,000000 0,000000
190 1686992738 1,000000 -1,000000 -101,000000 0,000000 0,000000
190 1686992739 1,000000 -1,000000 -101,000000 0,000000 0,000000
190 1686992740 2,800000 -1,000000 -101,000000 0,000000 0,000000
190 1686992741 2,800000 -1,000000 -101,000000 0,000000 0,000000
190 1686992742 2,800000 -1,000000 -101,000000 0,000000 0,000000
190 1686992743 2,800000 -1,000000 -101,000000 0,000000 0,000000
190 1686992744 2,800000 -1,000000 -101,000000 0,000000 0,000000
190 1686992745 0,400000 -1,000000 -101,000000 0,000000 0,000000
190 1686992746 0,400000 -1,000000 -101,000000 0,000000 0,000000
178 1686992737 0,200000 -1,000000 -101,000000 0,000000 0,000000
178 1686992738 0,200000 -1,000000 -101,000000 0,000000 0,000000
178 1686992739 0,200000 -1,000000 -101,000000 0,000000 0,000000
178 1686992745 0,200000 -1,000000 -101,000000 0,000000 0,000000
178 1686992746 0,200000 -1,000000 -101,000000 0,000000 0,000000
190 1686992747 0,400000 -1,000000 -101,000000 0,000000 0,000000
