1687104655	0	1687104656
1687104656	3	1687104665
1687104665	4	1687104675
1687104675	5	1687104685
1687104685	6	1687104690
1687104690	7	1687104695
1687104695	8	1687104705
1687104705	9	1687104715
1687104715	10	1687104725
1687104725	13	1687104735
1687104735	14	1687104745
1687104745	15	1687104755
1687104755	16	1687104760
1687104760	17	1687104765
1687104765	18	1687104775
1687104775	19	1687104785
1687104785	20	1687104795
1687104795	22	1687104796
1687104796	23	1687104806
1687104806	24	1687104816
1687104816	25	1687104826
1687104826	26	1687104830
1687104830	27	1687104836
1687104836	28	1687104846
1687104846	29	1687104856
1687104856	30	1687104865
1687104865	32	1687104866
1687104866	33	1687104876
1687104876	34	1687104886
1687104886	35	1687104896
1687104896	36	1687104900
1687104900	37	1687104906
1687104906	38	1687104916
1687104916	39	1687104926
1687104926	40	1687104935
1687104935	42	1687104936
1687104936	43	1687104946
1687104946	44	1687104956
1687104956	45	1687104966
1687104966	46	1687104970
1687104970	47	1687104976
1687104976	48	1687104986
1687104986	49	1687104996
1687104996	50	1687108606
1687108606	49	1687108608
1687108608	48	1687108611
1687108611	46	1687108617
1687108617	45	1687108622
1687108622	43	1687108623
1687108623	42	1687108626
1687108626	41	1687108631
1687108631	40	1687108632
1687108632	39	1687108637
1687108637	38	1687108641
1687108641	37	1687108642
1687108642	36	1687108645
1687108645	35	1687108649
1687108649	33	1687108654
1687108654	32	1687108655
1687108655	31	1687108657
1687108657	30	1687108662
1687108662	28	1687108666
1687108666	27	1687108673
1687108673	26	1687108678
1687108678	25	1687108680
1687108680	24	1687108683
1687108683	23	1687108686
1687108686	22	1687108691
1687108691	21	1687108694
1687108694	20	1687108695
1687108695	19	1687108698
1687108698	18	1687108700
1687108700	17	1687108703
1687108703	16	1687108707
1687108707	15	1687108708
1687108708	14	1687108712
1687108712	13	1687108715
1687108715	12	1687108717
1687108717	11	1687108718
1687108718	10	1687108723
1687108723	9	1687108727
1687108727	8	1687108728
1687108728	7	1687108729
1687108729	6	1687108732
1687108732	5	1687108750
1687108750	4	1687109049
1687109049	3	1687109115
1687109115	2	1687109185
1687109185	1	1687109259
