1686813053	0	1686813054
1686813054	3	1686813058
1686813058	4	1686813063
1686813063	6	1686813068
1686813068	7	1686813073
1686813073	8	1686813078
1686813078	9	1686813083
1686813083	10	1686815213
1686815213	13	1686815219
1686815219	14	1686815223
1686815223	15	1686815224
1686815224	16	1686815229
1686815229	17	1686815234
1686815234	18	1686815239
1686815239	19	1686815244
1686815244	20	1686816653
1686816653	22	1686816654
1686816654	23	1686816659
1686816659	24	1686816663
1686816663	25	1686816664
1686816664	26	1686816669
1686816669	27	1686816674
1686816674	28	1686816679
1686816679	29	1686816684
1686816684	30	1686817373
1686817373	32	1686817374
1686817374	33	1686817379
1686817379	34	1686817383
1686817383	35	1686817384
1686817384	36	1686817389
1686817389	37	1686817394
1686817394	38	1686817399
1686817399	39	1686817404
1686817404	40	1686818093
1686818093	41	1686818094
1686818094	43	1686818099
1686818099	44	1686818104
1686818104	46	1686818109
1686818109	47	1686818114
1686818114	48	1686818119
1686818119	49	1686818124
1686818124	50	1686818818
1686818818	49	1686818820
1686818820	48	1686818828
1686818828	47	1686818833
1686818833	46	1686818838
1686818838	45	1686818851
1686818851	44	1686818856
1686818856	43	1686818860
1686818860	42	1686818862
1686818862	41	1686818864
1686818864	40	1686818865
1686818865	39	1686818866
1686818866	38	1686818867
1686818867	37	1686818871
1686818871	35	1686818873
1686818873	34	1686818874
1686818874	33	1686818877
1686818877	32	1686818879
1686818879	30	1686818883
1686818883	29	1686818884
1686818884	28	1686818885
1686818885	27	1686818886
1686818886	26	1686818888
1686818888	23	1686818890
1686818890	22	1686818891
1686818891	21	1686818892
1686818892	20	1686818893
1686818893	18	1686818896
1686818896	17	1686818898
1686818898	16	1686818900
1686818900	15	1686818902
1686818902	14	1686818906
1686818906	13	1686818908
1686818908	12	1686818911
1686818911	11	1686818918
1686818918	10	1686818920
1686818920	9	1686818927
1686818927	8	1686818932
1686818932	7	1686818934
1686818934	6	1686818935
1686818935	4	1686818938
1686818938	3	1686818939
1686818939	2	1686818944
