45 1686428190 0,094578 0,200000 0,094578 0,094578 0,001789
45 1686428191 0,094578 0,200000 0,094578 0,094578 0,001789
45 1686428192 0,094578 0,200000 0,094578 0,094578 0,001789
45 1686428193 0,094578 0,200000 0,094578 0,094578 0,001789
45 1686428194 0,094578 0,200000 0,094578 0,094578 0,001789
54 1686428195 0,123804 0,200000 0,123804 0,123804 0,003065
54 1686428196 0,123804 0,200000 0,123804 0,123804 0,003065
54 1686428197 0,123804 0,200000 0,123804 0,123804 0,003065
54 1686428198 0,123804 0,200000 0,123804 0,123804 0,003065
54 1686428199 0,123804 0,200000 0,123804 0,123804 0,003065
65 1686428200 0,125818 0,200000 0,125818 0,125818 0,003166
65 1686428201 0,125818 0,200000 0,125818 0,125818 0,003166
65 1686428202 0,125818 0,200000 0,125818 0,125818 0,003166
65 1686428203 0,125818 0,200000 0,125818 0,125818 0,003166
65 1686428204 0,125818 0,200000 0,125818 0,125818 0,003166
45 1686428205 0,085804 0,200000 0,085804 0,085804 0,001472
45 1686428206 0,085804 0,200000 0,085804 0,085804 0,001472
45 1686428207 0,085804 0,200000 0,085804 0,085804 0,001472
45 1686428208 0,085804 0,200000 0,085804 0,085804 0,001472
45 1686428209 0,085804 0,200000 0,085804 0,085804 0,001472
54 1686428210 0,123848 0,200000 0,123848 0,123848 0,003068
54 1686428211 0,123848 0,200000 0,123848 0,123848 0,003068
54 1686428212 0,123848 0,200000 0,123848 0,123848 0,003068
54 1686428213 0,123848 0,200000 0,123848 0,123848 0,003068
54 1686428214 0,123848 0,200000 0,123848 0,123848 0,003068
65 1686428215 0,126497 0,200000 0,126497 0,126497 0,003200
69 1686428215 0,049498 0,200000 0,049498 0,049498 0,000490
65 1686428216 0,126497 0,200000 0,126497 0,126497 0,003200
69 1686428216 0,049498 0,200000 0,049498 0,049498 0,000490
69 1686428217 0,049498 0,200000 0,049498 0,049498 0,000490
65 1686428217 0,126497 0,200000 0,126497 0,126497 0,003200
65 1686428218 0,126497 0,200000 0,126497 0,126497 0,003200
69 1686428218 0,049498 0,200000 0,049498 0,049498 0,000490
65 1686428219 0,126497 0,200000 0,126497 0,126497 0,003200
69 1686428219 0,049498 0,200000 0,049498 0,049498 0,000490
45 1686428220 0,091797 0,200000 0,091797 0,091797 0,001685
45 1686428221 0,091797 0,200000 0,091797 0,091797 0,001685
45 1686428222 0,091797 0,200000 0,091797 0,091797 0,001685
45 1686428223 0,091797 0,200000 0,091797 0,091797 0,001685
45 1686428224 0,091797 0,200000 0,091797 0,091797 0,001685
72 1686428225 0,041990 0,200000 0,041990 0,041990 0,000353
54 1686428225 0,126091 0,200000 0,126091 0,126091 0,003180
72 1686428226 0,041990 0,200000 0,041990 0,041990 0,000353
54 1686428226 0,126091 0,200000 0,126091 0,126091 0,003180
54 1686428227 0,126091 0,200000 0,126091 0,126091 0,003180
72 1686428227 0,041990 0,200000 0,041990 0,041990 0,000353
72 1686428228 0,041990 0,200000 0,041990 0,041990 0,000353
54 1686428228 0,126091 0,200000 0,126091 0,126091 0,003180
72 1686428229 0,041990 0,200000 0,041990 0,041990 0,000353
54 1686428229 0,126091 0,200000 0,126091 0,126091 0,003180
65 1686428230 0,127973 0,200000 0,127973 0,127973 0,003275
